,fi_pc,rho1,rho2,diag,e_min,e_max,e_var,h_min,h_max,argmax_h,h_var
0,0.001,0.1,0.001,False,-9.75137397084417,2.3632074575252995,0.08268529148708637,-1.3596452704400463,2.0526560871410378,0,0.17715187013479317
1,0.001,0.1,0.005,False,-9.72100522834919,2.2233223324154436,0.08166102482659447,-1.1537294537710614,2.9332590231276794,303,0.7551694786241817
2,0.001,0.1,0.01,False,-9.72100522834919,2.068234098678099,0.08135190769424491,-0.9965984137770878,2.9332590231276794,303,0.7291469964688096
3,0.001,0.1,0.02,False,-9.72100522834919,1.9092688400146927,0.08090451479535862,-0.7999223872242909,2.9332590231276794,303,0.6947858590799572
4,0.001,0.1,0.05,False,-9.72100522834919,1.517780081080794,0.0801269135679582,-0.5234520834944814,2.9332590231276794,303,0.6401688026245808
5,0.001,0.2,0.001,False,-4.9334909213406,1.2074346504804445,0.021982467702931545,-0.5078516906248232,2.642781712428753,0,0.4555101302543086
6,0.001,0.2,0.005,False,-4.92926456627836,1.1788357455423977,0.021878692317155893,-0.4016078459579677,2.9332590231276794,303,0.6873165463346941
7,0.001,0.2,0.01,False,-4.92926456627836,1.1440039061424996,0.02183190181222603,-0.32909552124095987,2.9332590231276794,303,0.671383241534433
8,0.001,0.2,0.02,False,-4.92926456627836,1.0771440919315103,0.021756642197634204,-0.21299208017789617,2.9332590231276794,303,0.6462553579503176
9,0.001,0.2,0.05,False,-4.92926456627836,0.8949811025033356,0.021602553870678047,-0.006040061533059804,2.9332590231276794,303,0.6015885627040811
10,0.001,0.5,0.001,False,-1.98887493565017,0.41876662619235655,0.003721575159963092,-0.0728458789825395,2.8688022513042593,0,0.534122297758772
11,0.001,0.5,0.005,False,-1.98858544095032,0.41139533705212394,0.003716787295326275,-0.042856884531538714,2.9332590231276794,303,0.5719618832084343
12,0.001,0.5,0.01,False,-1.98858544095032,0.4022467827603042,0.003713670623792617,-0.013347515957680939,2.9332590231276794,303,0.5659225244738814
13,0.001,0.5,0.02,False,-1.98858544095032,0.38414909853025986,0.003708273481762088,0.044555157473065196,2.9332590231276794,303,0.5562862921608287
14,0.001,0.5,0.05,False,-1.98858544095032,0.3312530672526949,0.003695980540875408,0.0771521555236444,2.9332590231276794,303,0.5370305673947501
15,0.01,0.1,0.001,False,-9.66564336980664,2.3619663670087334,0.0816099602100901,-1.3839923166266526,1.8321723192222088,306,0.10903495830997725
16,0.01,0.1,0.005,False,-9.52145427246345,2.2221965583624064,0.07868541129134467,-1.1694517425841453,2.6415006566457557,303,0.6046425071151914
17,0.01,0.1,0.01,False,-9.52145427246345,2.0635922282611086,0.0783610158647174,-1.004499255404669,2.6415006566457557,303,0.5801690726436755
18,0.01,0.1,0.02,False,-9.52145427246345,1.9045885049656803,0.07790349768588019,-0.7944856366004207,2.6415006566457557,303,0.5485496784557038
19,0.01,0.1,0.05,False,-9.52145427246345,1.5127967985442885,0.07711986654968211,-0.5214279573655798,2.6415006566457557,303,0.49969190384044315
20,0.01,0.2,0.001,False,-4.89898592596188,1.2040153887288454,0.021762977995865584,-0.5621244380709955,2.0882436643297795,0,0.20505470820516197
21,0.01,0.2,0.005,False,-4.87743082025104,1.1753925672383991,0.021476161700888202,-0.41244536486056527,2.6415006566457557,303,0.5413285463218211
22,0.01,0.2,0.01,False,-4.87743082025104,1.1405278035253426,0.02142786415282508,-0.33773930412390873,2.6415006566457557,303,0.5271754708239469
23,0.01,0.2,0.02,False,-4.87743082025104,1.0735920195808124,0.021351577136084494,-0.21411445991646771,2.6415006566457557,303,0.5046555827339093
24,0.01,0.2,0.05,False,-4.87743082025104,0.8911179796727664,0.02119679702464181,-0.008112895157254663,2.6415006566457557,303,0.46505665268802593
25,0.01,0.5,0.001,False,-1.98151106475207,0.41701629299027654,0.0037011816014788338,-0.06102356574210216,2.52393159516426,0,0.36839702773475924
26,0.01,0.5,0.005,False,-1.98009617985102,0.4096262377604378,0.003689763747660916,-0.033003702928952244,2.6415006566457557,303,0.4382739008709505
27,0.01,0.5,0.01,False,-1.98009617985102,0.4004537702568122,0.003686593223561048,-0.004851057723131685,2.6415006566457557,303,0.43299699296027766
28,0.01,0.5,0.02,False,-1.98009617985102,0.3823066713521462,0.0036811656105545034,0.04920359074357203,2.6415006566457557,303,0.42451193834951
29,0.01,0.5,0.05,False,-1.98009617985102,0.32924731763187953,0.0036688644597414285,0.08098685087459631,2.6415006566457557,303,0.4076361737051808
30,0.05,0.1,0.001,False,-10.889451524558172,2.346537643411439,0.0811711476346959,-2.6270401634811242,1.8184124419573675,306,0.6237234600135809
31,0.05,0.1,0.005,False,-10.282262244305848,2.2104581483643675,0.075226068748841,-2.0427611642685313,1.6829276653224126,301,0.45630180389309577
32,0.05,0.1,0.01,False,-11.015338592526417,2.0497426877519374,0.06956114995894527,-1.0246473088358483,1.5172036720859867,301,0.1581193290222205
33,0.05,0.1,0.02,False,-9.28079527704287,1.8833387793797751,0.06705694478721615,-0.8090906419954051,2.0940438424725807,303,0.32370348670400356
34,0.05,0.1,0.05,False,-8.76208871809535,1.489981657258248,0.06622750128237329,-0.510905188019751,2.0940438424725807,303,0.28531351641579433
35,0.05,0.2,0.001,False,-5.581720667282785,1.1884836460402148,0.021490653391938744,-0.6872454305013136,0.9027871610138352,0,0.02728750391412665
36,0.05,0.2,0.005,False,-5.404336213711671,1.1597412547505104,0.020759053223118325,-0.5067790412284472,1.1638033105986656,0,0.030226689302825436
37,0.05,0.2,0.01,False,-5.242369292618952,1.1247130216335122,0.02007282948476346,-0.3693034559181856,1.6141991129502276,0,0.07609272875420842
38,0.05,0.2,0.02,False,-5.011675946959233,1.057403331733458,0.01978320016568257,-0.2361876324948553,2.0940438424725807,303,0.28873133050852373
39,0.05,0.2,0.05,False,-4.67010301984375,0.8734186506992401,0.01962343911045918,-0.01564631971865138,2.0940438424725807,303,0.2587726872999705
40,0.05,0.5,0.001,False,-1.96146710520246,0.4090438255643903,0.003652094452887806,-0.015036348372003072,1.7885716136092134,0,0.12054831683839291
41,0.05,0.5,0.005,False,-1.95323979731181,0.40156691186878285,0.0036157659246950336,0.0030297125021515048,1.8723150704069726,0,0.13727352807021145
42,0.05,0.5,0.01,False,-1.94643836715116,0.39228235104606074,0.003584553420285959,0.0317462524157642,1.9938313171098974,0,0.17653993614839533
43,0.05,0.5,0.02,False,-1.94504077738636,0.3739064295017744,0.003571031153520513,0.06318219919442426,2.0940438424725807,303,0.2278701764066908
44,0.05,0.5,0.05,False,-1.94504077738636,0.32008676000529607,0.0035586638860719763,0.09638473058183664,2.0940438424725807,303,0.21559764335534007
45,0.1,0.1,0.001,False,-9.69958918312689,2.3137536721481737,0.08207716241666592,-3.2407221962019923,1.7797805114794927,301,0.9461942517605437
46,0.1,0.1,0.005,False,-9.28596783771464,2.182731486373721,0.07581489508022411,-2.9686382175177393,1.6413698228864986,301,0.8048231550420085
47,0.1,0.1,0.01,False,-8.82676772195432,2.02820652266084,0.06902995923866972,-2.5423034805186995,1.4772538676929612,301,0.69889380451286
48,0.1,0.1,0.02,False,-8.14614608491618,1.8556316233130268,0.05899435137982707,-0.8473945920192449,1.3107802400573807,990,0.18317133543135128
49,0.1,0.1,0.05,False,-8.396427966315517,1.4597545707722137,0.05666798270952487,-0.494550082479271,1.7862262281865537,303,0.19318387870396736
50,0.1,0.2,0.001,False,-5.144021312602911,1.1682312047497043,0.021553673847605096,-0.8747213279657227,0.5347565371757884,496,0.07883179367211825
51,0.1,0.2,0.005,False,-5.0348014142698085,1.1393058802176708,0.02071703449445907,-0.6864632196252154,0.5886718021795934,376,0.06587413820070813
52,0.1,0.2,0.01,False,-4.912230718332995,1.1040300171462325,0.019779818791370113,-0.4674370055174917,0.8312189000943302,905,0.05423518261448239
53,0.1,0.2,0.02,False,-4.707548016814511,1.036161076795685,0.018399997498037415,-0.2755121912232483,1.347958646063184,0,0.04381194631133381
54,0.1,0.2,0.05,False,-4.4562545736827,0.8499607107912215,0.018045940659812968,-0.021429636573633948,1.7862262281865537,303,0.17157708601893387
55,0.1,0.5,0.001,False,-1.95007954250821,0.3986088452339447,0.003636947764210066,0.02605194080119122,1.337020091240435,0,0.03989053864726424
56,0.1,0.5,0.005,False,-1.93825171659644,0.3910140088923557,0.0035880722841700754,0.045543849936030834,1.3973133656206613,0,0.04502002768006146
57,0.1,0.5,0.01,False,-1.9289534652056304,0.3815787391713353,0.0035346366563276657,0.06516983739631124,1.482548074931871,0,0.05422263486985642
58,0.1,0.5,0.02,False,-1.9181745188339563,0.36288941936767294,0.0034630150804670925,0.08057183501099734,1.6917174002883424,0,0.10286372525205738
59,0.1,0.5,0.05,False,-1.90692782334437,0.30803401953371234,0.00344249660271,0.11178486309570931,1.7862262281865537,303,0.1367143071910335
